,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
10700,abc730: pulitzer prize winning reporter @ronanfarrow reveals the personal cost of exposing superstar film producer and sexual predator2\x806',2019-10-15 22:52:00,0.096,0.596,0.307,0.6808,positive,{'sexual'}
10701,"2\x80\x9cit started with #blacklivesmatter, through the women2\x80\x99s march, charlottesville, #metoo, which led to bigger things,2\x806 https://t.co/ecb7kwi6gu'",2019-10-15 22:52:00,0.0,1.0,0.0,0.0,neutral,set()
10702,"see every time one of their own is in the metoo movement spotlight, they gotta get a black man to distract us from2\x806 https://t.co/gwt2sipyh1'",2019-10-15 22:51:00,0.136,0.864,0.0,-0.296,negative,"{'metoo', 'movement'}"
10703,chatbycc: @realdonaldtrump @cnn rumor has it2\x80\x94\n*ucker zucker has his own #metoo scandals.',2019-10-15 22:51:00,0.242,0.758,0.0,-0.4939,negative,set()
10704,tashmicatorok: #dyk: october 15 is the second anniversary of the #metoo movement going viral. it2\x80\x99s also the fourth presidential primary2\x806',2019-10-15 22:51:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10705,taranaburke: the rate of sexual violence in indigenous communities is beyond alarming and they are the group with the largest number of2\x806',2019-10-15 22:51:00,0.331,0.592,0.077,-0.6486,negative,{'sexual'}
10706,"boxersforlife: hey @betoorourke since you2\x80\x99re all about the #metoo movement and believing all women, @lgjustinfairfax the lt. governor o2\x806'",2019-10-15 22:51:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10707,"yo school is fuckin stupid, one day they say that weapons are bad and shooting schools are bad, the next day a emo2\x806 https://t.co/bsdvrkhgfa'",2019-10-15 22:51:00,0.506,0.494,0.0,-0.9231,negative,set()
10708,"and as we work to hold leaders accountable, let2\x80\x99s remind them of the structural change that is needed. my latest in2\x806 https://t.co/jfdbzphwra'",2019-10-15 22:51:00,0.0,1.0,0.0,0.0,neutral,set()
10709,"this is the perfect next step for the #metoo movement. thanks to @taranaburke , .@aijenpoo, .@monicaramirezoh, &amp; .2\x806 https://t.co/m9p1l3wjdi'",2019-10-15 22:51:00,0.0,0.625,0.375,0.765,positive,set()
10710,"#metoo another harvey weinstein banker gets clipped, whos next....@goldmansachs @repkclark @senwarren https://t.co/m07y3mkdkm'",2019-10-15 22:51:00,0.0,1.0,0.0,0.0,neutral,set()
10711,"repbarbaralee: to the silence breakers - tarana burke, chanel miller, cyntoia brown, aly raisman, anita hill, christine blasey ford, fa2\x806'",2019-10-15 22:50:00,0.0,1.0,0.0,0.0,neutral,set()
10712,"luxymoo: hey kai, remember when i told you my metoo story because our stories were so similar and asked you to keep it confidential, an2\x806'",2019-10-15 22:50:00,0.0,1.0,0.0,0.0,neutral,{'metoo'}
10713," @betoorourke: two years ago, millions shared a hashtag, as part of a movement that changed our country. on #metoo's 2nd anniversary, let2\x806""",2019-10-15 22:50:00,0.0,0.862,0.138,0.34,positive,"{'two', 'years', 'movement'}"
10714,"follow and comment, support women. on this anniversary of #metoo, now is a good time to start. https://t.co/9x4dfsrapj'",2019-10-15 22:50:00,0.0,0.616,0.384,0.6808,positive,set()
10715,"in the aftermath of #metoo, this year2\x80\x99s #ellewih honorees are defined by the question: where do we go from here?2\x806 https://t.co/q00vy95osq'",2019-10-15 22:50:00,0.0,0.769,0.231,0.5106,positive,set()
10716,"time: 2\x80\x9cwe need these candidates to see us as a power base,2\x80\x9d says #metoo founder @taranaburke. she is launching the hashtag #metoovoter2\x806'",2019-10-15 22:50:00,0.0,1.0,0.0,0.0,neutral,set()
10717,alyssa_milano: two years ago today this tweet went viral. #metoo https://t.co/lap37qt2nu',2019-10-15 22:50:00,0.0,1.0,0.0,0.0,neutral,"{'two', 'years'}"
